09-02-2018,6,19,24,25,36,37,39,17
02-02-2018,3,8,9,24,28,31,44,32
26-01-2018,7,8,13,19,23,32,40,9
19-01-2018,9,18,25,30,39,40,43,5
12-01-2018,1,8,16,19,26,34,41,10
05-01-2018,1,3,13,15,28,36,49,14
29-12-2017,22,23,26,35,37,39,47,14
22-12-2017,13,16,19,21,24,26,30,36
15-12-2017,8,14,17,27,28,30,48,37
08-12-2017,1,17,31,33,39,46,49,42
01-12-2017,26,28,33,38,42,43,47,16
24-11-2017,5,11,20,22,35,38,46,45
17-11-2017,3,15,22,23,33,47,49,6
10-11-2017,5,12,18,26,29,31,37,40
03-11-2017,16,17,18,20,40,42,43,15
27-10-2017,1,14,15,16,24,39,49,5
20-10-2017,1,4,12,27,35,38,46,8
13-10-2017,8,14,16,17,18,34,41,43
06-10-2017,10,17,25,27,29,34,38,48
29-09-2017,1,6,14,23,38,40,47,25
22-09-2017,2,10,37,38,39,43,47,28
15-09-2017,15,20,24,30,39,44,46,22
08-09-2017,1,2,15,16,22,29,41,27
01-09-2017,1,7,18,28,31,39,48,35
25-08-2017,18,19,23,34,39,43,46,1
18-08-2017,2,9,13,16,25,26,45,19
11-08-2017,13,14,19,26,27,36,37,18
04-08-2017,1,4,11,17,27,36,37,47
28-07-2017,9,12,16,24,33,45,47,14
21-07-2017,2,11,12,25,33,39,44,8
14-07-2017,2,4,11,17,26,41,42,44
07-07-2017,4,8,13,16,26,33,38,10
30-06-2017,7,24,26,36,37,43,44,3
23-06-2017,2,3,6,22,24,42,46,27
16-06-2017,1,5,20,33,34,41,42,15
09-06-2017,7,11,20,21,22,37,47,38
02-06-2017,11,12,25,28,33,41,43,36
26-05-2017,14,16,18,21,38,44,49,15
19-05-2017,8,11,18,25,34,35,38,44
12-05-2017,11,25,26,28,38,44,45,20
05-05-2017,11,14,20,22,26,35,43,33
28-04-2017,10,14,22,36,38,44,45,11
21-04-2017,3,4,13,16,35,47,49,37
14-04-2017,23,25,29,30,42,44,45,20
07-04-2017,8,12,14,34,37,44,48,45
31-03-2017,1,2,12,15,22,25,41,34
24-03-2017,16,19,21,32,37,39,45,26
17-03-2017,2,5,6,7,8,33,45,15
10-03-2017,1,11,15,20,36,41,47,33
03-03-2017,3,7,20,25,29,31,44,27
24-02-2017,1,17,19,23,28,29,47,10
17-02-2017,5,9,14,24,33,37,46,38
10-02-2017,11,16,19,22,24,38,41,48
03-02-2017,8,19,24,28,34,42,48,17
27-01-2017,1,3,8,22,29,38,47,11
20-01-2017,4,10,21,28,29,37,45,20
